location,lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value,region
paris,1,1636,0.6633863080684598,0.8977525592844119,-0.05238386308068462,142,0.21619718309859146,1494,-0.0779116465863454,3.8589750103461395,0.00016115019116685406,Paris basin
paris,3,1634,1.1108323133414932,1.5007974216584972,-0.15477356181150553,142,0.40915492957746463,1492,-0.20844504021447724,4.898204351085536,2.2250625140392933e-06,Paris basin
paris,5,1632,1.5903799019607843,2.148093945347646,-0.1294730392156863,142,0.9591549295774647,1490,-0.2332214765100671,6.451714876712792,1.114251775475764e-09,Paris basin
paris,7,1630,2.1883435582822086,2.923509530591635,-0.2733742331288344,140,2.227142857142857,1490,-0.5083221476510068,10.273992747487782,2.22838015061613e-19,Paris basin
lyon,1,1636,0.6538508557457212,0.9236468328764196,0.05739608801955995,193,0.2414507772020725,1443,0.03277893277893284,3.656370194411913,0.0003036287786674493,Rhone valley (continental)
lyon,3,1634,1.1277845777233784,1.537280499502068,0.07343941248470015,193,0.40777202072538854,1441,0.02866065232477447,3.7677767840319847,0.0002014584775865676,Rhone valley (continental)
lyon,5,1632,1.6264093137254902,2.2316174451658664,0.05851715686274513,193,0.8481865284974093,1439,-0.047394023627519065,6.514474066335144,3.2116898948367033e-10,Rhone valley (continental)
lyon,7,1630,2.3998159509202455,3.2035496033852344,-0.056134969325153355,192,1.7843749999999998,1438,-0.3018776077885953,9.46887259085066,1.8169939176777953e-18,Rhone valley (continental)
marseille,1,1636,0.42665036674816625,0.5853550946195532,0.17176039119804404,5,0.3800000000000011,1631,0.17112201103617414,0.52784774207364,0.625465438264752,Mediterranean
marseille,3,1634,0.7078335373317013,0.9549010343025697,0.24124847001223995,5,2.0600000000000014,1629,0.23566605279312466,1.330848912257477,0.25399702480584224,Mediterranean
marseille,5,1632,1.0338848039215687,1.3490396911267268,0.19564950980392162,5,1.9,1627,0.19041180086047946,2.4987730302600375,0.06656509518783496,Mediterranean
marseille,7,1630,1.3450306748466259,1.7533596147540034,0.02503067484662582,4,3.3500000000000005,1626,0.01685116851168516,2.722074008352003,0.07222394759008813,Mediterranean
toulouse,1,1636,0.6246332518337409,0.8622446115639977,-0.08233496332518342,166,-0.17048192771084375,1470,-0.07238095238095237,-1.7908062511522878,0.07457738900719331,Southwest
toulouse,3,1634,1.0734394124847002,1.4721195138007976,-0.16046511627906976,166,-0.1542168674698794,1468,-0.16117166212534065,0.06312777238516236,0.9497237070409212,Southwest
toulouse,5,1632,1.615686274509804,2.1610154430494104,-0.1256127450980392,166,0.5801204819277108,1466,-0.20552523874488404,4.767835514413444,3.464198906302268e-06,Southwest
toulouse,7,1630,2.3830061349693255,3.199207148711708,-0.29159509202453987,165,1.833939393939394,1465,-0.5309897610921501,8.522469884571686,4.228096650136683e-15,Southwest
nantes,1,1636,0.6378361858190709,0.8950932529855994,-0.0587408312958435,143,-0.058041958041957616,1493,-0.058807769591426674,0.008236566126685057,0.9934384823259523,Atlantic coast
nantes,3,1634,1.0326805385556916,1.4441626899878692,-0.18188494492044063,143,0.06083916083916118,1491,-0.20516431924882628,2.0223330582978076,0.04473636131873245,Atlantic coast
nantes,5,1632,1.5217524509803921,2.1100033105633353,-0.16452205882352938,143,0.7335664335664339,1489,-0.25077233042310276,4.488074005891458,1.3680387142479602e-05,Atlantic coast
nantes,7,1630,2.117668711656442,2.897811740509653,-0.2884662576687116,143,2.1944055944055947,1487,-0.527236045729657,8.061167723427396,1.937489335726292e-13,Atlantic coast
strasbourg,1,1636,0.6850244498777507,0.9363319944933958,0.06754278728606351,169,0.4035502958579882,1467,0.028834355828220807,5.321470747320241,2.564053455778811e-07,Northeast (continental)
strasbourg,3,1634,1.1517747858017136,1.5404898361003616,0.005507955936352478,169,0.47869822485207103,1465,-0.049078498293515384,4.613826490141987,6.727686646275598e-06,Northeast (continental)
strasbourg,5,1632,1.6607230392156864,2.244127685455409,-0.03719362745098049,169,0.9934911242603549,1463,-0.1562542720437458,6.898522605104684,5.61531369929688e-11,Northeast (continental)
strasbourg,7,1630,2.32319018404908,3.0657378339084493,-0.18674846625766878,168,1.9273809523809524,1462,-0.4296853625170999,9.828057688834884,5.660680338316571e-19,Northeast (continental)
lille,1,1636,0.620843520782396,0.8639726009872788,0.01680929095354517,146,0.38767123287671246,1490,-0.019530201342281957,5.95602239525649,1.3105161504595919e-08,North
lille,3,1634,1.0659118727050183,1.4455498756820726,-0.04094247246022034,146,0.678082191780822,1488,-0.11149193548387099,6.125093560903234,5.992200655171085e-09,North
lille,5,1632,1.524264705882353,2.0840812383021774,0.010906862745097981,145,1.2096551724137934,1487,-0.10598520511096174,7.086332376136404,3.4779446467571194e-11,North
lille,7,1630,2.097730061349693,2.794386353392197,-0.20766871165644168,143,2.1083916083916088,1487,-0.43039677202420984,9.734501991996874,5.8177494732930955e-18,North
bordeaux,1,1636,0.640403422982885,0.90165902510595,-0.08147921760391198,187,-0.0721925133689837,1449,-0.08267770876466532,0.15137438056872382,0.879808788227189,Southwest Atlantic
bordeaux,3,1634,1.1050183598531214,1.4808322447485074,-0.17772337821297432,187,-0.026737967914438485,1447,-0.19723565998617837,1.5741715048311407,0.11674034125452733,Southwest Atlantic
bordeaux,5,1632,1.6511029411764708,2.262933957949108,-0.08713235294117642,187,1.012299465240642,1445,-0.22941176470588234,6.466957171855093,6.177856237170214e-10,Southwest Atlantic
bordeaux,7,1630,2.40079754601227,3.259488273284778,-0.2459509202453988,187,2.270053475935829,1443,-0.572002772002772,10.004485275170005,1.1933704892427168e-19,Southwest Atlantic
nice,1,1636,0.5843520782396088,0.8250657527327857,0.3660146699266503,24,1.4666666666666675,1612,0.34962779156327545,3.4578629546179998,0.0021230908306955816,Cote d'Azur
nice,3,1634,0.8580171358629131,1.1659909449566621,0.44014687882496945,24,1.7874999999999996,1610,0.4200621118012422,3.7260225325377236,0.0010935273637881632,Cote d'Azur
nice,5,1632,1.1859068627450982,1.616103095624247,0.4376225490196079,24,2.754166666666667,1608,0.40304726368159205,4.6006014337355206,0.00012293730796315825,Cote d'Azur
nice,7,1630,1.5150920245398776,2.0249092988851762,0.35030674846625764,24,3.275,1606,0.30660024906600253,5.428492578253148,1.5388587609708893e-05,Cote d'Azur
